Date,Sales,Orders,Customers,Region,Product_Category,Year,Month,Month_Name,Quarter
2019-01-01,10322.86,126.0,64.0,North,Electronics,2019,1,January,1
2019-02-01,10906.51,141.0,73.0,West,Office Supplies,2019,2,February,1
2019-03-01,12172.61,145.0,90.0,North,Furniture,2019,3,March,1
2019-04-01,13079.13,164.0,96.0,West,Furniture,2019,4,April,2
2019-05-01,11792.19,115.0,77.0,West,Furniture,2019,5,May,2
2019-06-01,11229.74,113.0,70.0,South,Electronics,2019,6,June,2
2019-07-01,11604.8,123.0,73.0,West,Electronics,2019,7,July,3
2019-08-01,10273.53,102.0,66.0,South,Electronics,2019,8,August,3
2019-09-01,13867.23,90.0,60.0,West,Electronics,2019,9,September,3
2019-10-01,9420.13,117.0,76.0,East,Electronics,2019,10,October,4
2019-11-01,9103.79,89.0,72.0,East,Office Supplies,2019,11,November,4
2019-12-01,9857.52,108.0,61.0,East,Office Supplies,2019,12,December,4
2020-01-01,11313.9,114.0,77.0,West,Electronics,2020,1,January,1
2020-02-01,10909.38,107.0,91.0,South,Furniture,2020,2,February,1
2020-03-01,11787.05,139.0,95.0,South,Electronics,2020,3,March,1
2020-04-01,12880.3,156.5,86.0,West,Office Supplies,2020,4,April,2
2020-05-01,12442.67,152.0,103.0,East,Office Supplies,2020,5,May,2
2020-06-01,12742.81,145.0,100.0,East,Furniture,2020,6,June,2
2020-07-01,11144.72,112.0,77.0,South,Office Supplies,2020,7,July,3
2020-08-01,10013.33,99.0,66.0,East,Electronics,2020,8,August,3
2020-09-01,11321.54,151.0,76.0,North,Furniture,2020,9,September,3
2020-10-01,10077.34,112.0,77.0,South,Electronics,2020,10,October,4
2020-11-01,10605.53,121.0,70.0,East,Electronics,2020,11,November,4
2020-12-01,10390.78,127.0,80.0,South,Furniture,2020,12,December,4
2021-01-01,11959.4,152.0,89.0,North,Electronics,2021,1,January,1
2021-02-01,13381.74,157.0,87.0,Unknown,Office Supplies,2021,2,February,1
2021-03-01,13316.72,129.0,89.0,South,Electronics,2021,3,March,1
2021-04-01,14646.61,173.0,93.0,South,Furniture,2021,4,April,2
2021-05-01,13867.23,153.0,93.0,South,Furniture,2021,5,May,2
2021-06-01,13505.58,141.0,93.0,North,Furniture,2021,6,June,2
2021-07-01,12500.46,146.0,101.0,West,Electronics,2021,7,July,3
2021-08-01,13291.93,128.0,97.0,South,Furniture,2021,8,August,3
2021-09-01,11516.72,111.0,87.0,South,Furniture,2021,9,September,3
2021-10-01,10693.21,130.0,82.0,East,Electronics,2021,10,October,4
2021-11-01,12252.92,136.0,75.0,South,Office Supplies,2021,11,November,4
2021-12-01,11679.95,139.0,85.0,East,Electronics,2021,12,December,4
2022-01-01,13605.64,163.0,85.0,West,Furniture,2022,1,January,1
2022-02-01,13867.23,173.0,89.0,North,Furniture,2022,2,February,1
2022-03-01,14358.18,154.0,92.0,North,Electronics,2022,3,March,1
2022-04-01,15687.0,174.0,110.0,West,Office Supplies,2022,4,April,2
2022-05-01,15894.27,208.0,109.0,North,Furniture,2022,5,May,2
2022-06-01,14963.2,180.0,105.0,West,Furniture,2022,6,June,2
2022-07-01,13973.02,137.0,108.0,West,Furniture,2022,7,July,3
2022-08-01,13048.86,159.0,86.0,West,Electronics,2022,8,August,3
2022-09-01,11721.08,148.0,88.0,North,Furniture,2022,9,September,3
2022-10-01,12069.45,135.0,100.0,East,Office Supplies,2022,10,October,4
2022-11-01,12575.47,120.0,84.0,West,Furniture,2022,11,November,4
2022-12-01,14317.25,174.0,112.0,South,Furniture,2022,12,December,4
2023-01-01,14849.86,156.0,91.0,North,Electronics,2023,1,January,1
2023-02-01,14476.92,148.0,89.0,West,Furniture,2023,2,February,1
2023-03-01,16588.78,202.0,103.0,West,Electronics,2023,3,March,1
